name,has_test,address,created_at,insider_interview,alternate_url,employer,schedule,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Python-разработчик,False,Екатеринбург,2024-07-10 11:39,null,https://hh.ru/vacancy/103641114,Теропром,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",Нет опыта,Полная занятость,50000,150000,Знание основ Git. Знание основ <highlighttext>ETL</highlighttext>. Будут плюсом: навыки <highlighttext>разработки</highlighttext> баз данных. Умение находить нетривиальные решения. Умение самостоятельно определять сроки...,"Автоматизация бизнес-процессов через API различных маркетплейсов (OZON, WB, Яндекс Маркет). Заниматься построением связей с данными парсинга поставщиков и маркетплейсами. "
Младший разработчик,True,Москва,2024-06-22 14:11,null,https://hh.ru/vacancy/85002915,GlowByte,"{'id': 'flexible', 'name': 'Гибкий график'}",False,"Программист, разработчик",Нет опыта,Полная занятость,null,null,Обязательные: Высшее IT/техническое образование либо последние курсы государственного технического ВУЗа. Базовое понимание физической модели данных одной из промышленных БД. ,Участие в реализации корпоративных информационно-аналитических систем (DWH/<highlighttext>ETL</highlighttext>/BI) в качестве <highlighttext>разработчика</highlighttext>. Участие в проектировании процессов загрузки данных Extract...
Архитектор IT (удаленнно),False,null,2024-06-24 11:46,"{'id': '31607', 'url': 'https://hh.ru/interview/31607?employerId=2406247'}",https://hh.ru/vacancy/101926192,Selecty,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Руководитель группы разработки,От 3 до 6 лет,Полная занятость,null,null,"Опыт построения интеграционных решений (SOA, микросервисы, <highlighttext>ETL</highlighttext>). Понимание особенностей <highlighttext>разработки</highlighttext> виртуализируемых высоконагруженных, территориально-распределенных систем. Опыт работы с Docker & Kubernetes. ",Проектирование технических решений по реализации бизнес и функциональных требований. Изучать влияние предлагаемых изменений на существующие процессы и интеграции. 
Дата инженер / Разработчик ETL,False,null,2024-06-21 14:47,null,https://hh.ru/vacancy/102438836,Overtech Consulting Group,"{'id': 'remote', 'name': 'Удаленная работа'}",True,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Понимание технологий стека Hadoop (Hive, Hbase, Spark, Kafka, Greenplum, Teradata, SAS DI и др.). Знание принципов, опыт проектирования с использованием...","Разработка/настройка инфраструктуры. Разработка функциональности обработки больших объемов данных с использованием стека технологий Big Data (Hadoop, Spark, Hive, HBase). "
Аналитик данных,False,null,2024-07-11 10:23,null,https://hh.ru/vacancy/103693197,Axenix (ранее Accenture),"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,...этой базы данных). Глубокое понимание языка SQL. Работа с Airflow. Знание Python (база). Опыт работы <highlighttext>ETL</highlighttext>-<highlighttext>разработчиком</highlighttext> на проектах DWH.,Настройка ETL-процессов для системы интегрированного планирования. Анализом и оптимизацией выполнения запросов для улучшения производительности и снижения нагрузки на базу...
Аналитик,False,null,2024-06-20 12:45,null,https://hh.ru/vacancy/91135894,Лига Цифровой Экономики,"{'id': 'fullDay', 'name': 'Полный день'}",False,Системный аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Умение выстраивать конструктивные коммуникации с Заказчиком, желание разобраться в его потребностях. Навык оформления полученной информации в документацию. Опыт написания функциональных...","Погружаться в бизнес деятельность Банка, практически во все области. Исследовать предметную область, проектировать и согласовывать процесс to-be. "
Аналитик-разработчик,False,Москва,2024-07-08 11:01,null,https://hh.ru/vacancy/103486332,Ozon,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Высшее образование (математическое, экономическое). Опыт работы в роли аналитика/математика/разработчика (от года). Опыт в выстраивании аналитической базы и планирования. ","Разработка <highlighttext>ETL</highlighttext>-пайплайнов с помощью SQL. <highlighttext>Разработка</highlighttext> ML-пайплайнов обучения моделей (scikit-learn, LightGBM, XGBoost, CatBoost). Анализ динамики метрик эффективности..."
ETL разработчик,False,null,2024-07-11 11:34,null,https://hh.ru/vacancy/103316604,Robusta,"{'id': 'remote', 'name': 'Удаленная работа'}",False,Другое,От 1 года до 3 лет,Полная занятость,null,null,Конвертация кода SQL из диалекта MsSQL на Greenplum. SQL. Greenplum. MSSQL.,
Разработчик отдела разработки BI,False,null,2024-07-10 17:04,null,https://hh.ru/vacancy/103669755,Finbridge,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Уверенное знание ANSI SQL, T-SQL – от 1 года. Опыт написания и оптимизации SQL запросов – от 1 года, чтение и...",Анализ производительности кода и его оптимизация. Участие в разработке <highlighttext>ETL</highlighttext>-процессов. <highlighttext>Разработка</highlighttext> механизмов миграции данных между слоями системы DWH. 
Middle Data Engineer,False,null,2024-07-11 07:26,null,https://hh.ru/vacancy/103681840,FESCO (ПАО Дальневосточное морское пароходство),"{'id': 'remote', 'name': 'Удаленная работа'}",False,Дата-сайентист,От 3 до 6 лет,Полная занятость,240000,,Опыт построения аналитического хранилища данных. Опыт моделирования данных (разные слои данных). Уверенное знание Python. Углубленное знание SQL. Комплексное понимание архитектуры...,"Реализация, организация и поддержка объектов на всех слоях хранилища. Разработка <highlighttext>ETL</highlighttext>-пайплайнов. <highlighttext>Разработка</highlighttext> и доработка интеграционных элементов, коннекторов, внутренних сервисов. "
